№ услуги;Полное наименование услуги;Сокращенное наименование услуги;Теги по услуге;Вопрос;Ответ
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Какие основания для получения?;Заявителем является родитель (усыновитель) ребенка (детей), являющийся гражданином Российской Федерации, имеющим место жительства в Санкт-Петербурге, в случае если ребенок (дети) в отношении которых подается заявление являются гражданами Российской Федерации, имеющими место жительства в Санкт-Петербурге.
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Какие условия являются обязательными для получения?;"ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей (усыновителей) или оба родителя (усыновителя) - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб;

Мать - встала на медицинский учет по поводу беременности в учреждении здравоохранения в срок до 20 недель (включительно)
ИЛИ
ребенка усыновили в возрасте до шести месяцев;

Обращение последовало не позднее полутора лет со дня рождения ребенка."
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Как оформлять услугу при рождении (усыновлении) нескольких детей?;При наличии в семье двух и более детей единовременная компенсационная выплата назначается на каждого ребенка
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Какая сумма выплат?;"Единовременная компенсационная выплата при рождении первого ребенка - с 01.04.2022 - 36168 руб.; с 01.01.2023 - 39141 руб.
при рождении второго ребенка с 01.04.2022 - 48227 руб.; с 01.01.2023 - 52191 руб.
при рождении третьего и последующих детей с 01.04.2022 - 60280 руб.; с 01.01.2023 - 65232 руб"
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Кому не положено?;"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Как определяется размер выплат?;Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Какие документы удостоверяют личность?;паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Какие документы предоставить при обращении представителя?;1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Какие заявления брать у заявителя?;Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская».
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Какие дополнительно документы должен предоставить заявитель?;"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Какие основания для отказа в приеме документов?;" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Какие основания для отказа в предоставлении услуги?;"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Срок предоставления услуги?;"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;В каком случае учитываются в составе семьи пасынки и падчерицы?;"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль»)?;"На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) администрация какого района принимает решение?
б) сроки назначения?
";"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей?;"В соответствии с информацией, полученной посредством межведомственного взаимодействия от органов ЗАГСа, очередность рождения детей можно определить по актовой записи в свидетельствах о рождении.
"
33;Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания;Единовременная компенсационная выплата при рождении ребенка;Детская карта;"Нужно ли запрашивать справку из другого субъекта Российской Федерации 
о неполучении аналогичных выплат при назначении ЕКВ при рождении ребенка (усыновлении в возрасте до шести месяцев) 
в случае переезда семьи в Санкт-Петербург, ранее аналогичную выплату получили 
по месту жительства.
";"Нет, не нужно, так как в комплекте документов при назначении ЕКВ при рождении ребенка (усыновлении в возрасте до шести месяцев) указанная справка не требуется.
"
583;Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления);Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам                                                                        Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей;;Кто может оформить услугу?;" дети-сироты и дети, оставшиеся без попечения родителей, являющиеся гражданами Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге, в лице законных представителей (опекуна, попечителя, руководителя организации для детей-сирот и детей, оставшихся без попечения родителей);лица из числа детей-сирот и детей, оставшихся без попечения родителей, являющиеся гражданами Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге"
583;Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления);Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам                                                                        Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей;;"Определение ""Дети-сироты""";"граждане в возрасте до 18 лет, у которых умерли оба или единственный родитель;"
583;Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления);Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам                                                                        Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей;;"Определение ""Дети, оставшиеся без попечения родителей""";"граждане в возрасте до 18 лет, которые остались без попечения единственного родителя или обоих родителей в связи с лишением их родительских прав, ограничением их в родительских правах, признанием родителей безвестно отсутствующими, недееспособными (ограниченно дееспособными), объявлением их умершими, установлением судом факта утраты лицом попечения родителей, отбыванием родителями наказания в учреждениях, исполняющих наказание в виде лишения свободы, нахождением родителей в местах содержания под стражей подозреваемых и обвиняемых в совершении преступлений, уклонением родителей от воспитания своих детей или от защиты их прав и интересов, отказом родителей взять своих детей из образовательных организаций, медицинских организаций, организаций, оказывающих социальные услуги, а также в случае, если единственный родитель или оба родителя неизвестны, в иных случаях признания детей оставшимися без попечения родителей в установленном законом порядке;"
583;Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления);Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам                                                                        Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей;;"Определение ""лица из числа детей-сирот и детей, оставшихся без попечения родителей""";"граждане в возрасте от 18 до 23 лет, у которых, когда они находились в возрасте до 18 лет, умерли оба или единственный родитель, а также которые остались без попечения обоих или единственного родителя и имеют в соответствии с действующим законодательством право на дополнительные гарантии по социальной поддержке.
"
