;Keywords;Answer
0;['услуги', 'Какие', 'получения'];Заявителем является родитель (усыновитель) ребенка (детей), являющийся гражданином Российской Федерации, имеющим место жительства в Санкт-Петербурге, в случае если ребенок (дети) в отношении которых подается заявление являются гражданами Российской Федерации, имеющими место жительства в Санкт-Петербурге.
1;['Какие', 'ребенка', 'усыновлении'];Заявителем является родитель (усыновитель) ребенка (детей), являющийся гражданином Российской Федерации, имеющим место жительства в Санкт-Петербурге, в случае если ребенок (дети) в отношении которых подается заявление являются гражданами Российской Федерации, имеющими место жительства в Санкт-Петербурге.
2;['Какие', 'ребенка', 'основания'];Заявителем является родитель (усыновитель) ребенка (детей), являющийся гражданином Российской Федерации, имеющим место жительства в Санкт-Петербурге, в случае если ребенок (дети) в отношении которых подается заявление являются гражданами Российской Федерации, имеющими место жительства в Санкт-Петербурге.
3;['Какие', 'карты', 'основания'];Заявителем является родитель (усыновитель) ребенка (детей), являющийся гражданином Российской Федерации, имеющим место жительства в Санкт-Петербурге, в случае если ребенок (дети) в отношении которых подается заявление являются гражданами Российской Федерации, имеющими место жительства в Санкт-Петербурге.
4;['Предоставлять', 'Какие', 'услуги'];"ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей (усыновителей) или оба родителя (усыновителя) - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб;

Мать - встала на медицинский учет по поводу беременности в учреждении здравоохранения в срок до 20 недель (включительно)
ИЛИ
ребенка усыновили в возрасте до шести месяцев;

Обращение последовало не позднее полутора лет со дня рождения ребенка."
5;['Какие', 'ребенка', 'условия'];"ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей (усыновителей) или оба родителя (усыновителя) - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб;

Мать - встала на медицинский учет по поводу беременности в учреждении здравоохранения в срок до 20 недель (включительно)
ИЛИ
ребенка усыновили в возрасте до шести месяцев;

Обращение последовало не позднее полутора лет со дня рождения ребенка."
6;['услуги', 'Какие', 'получения'];"ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей (усыновителей) или оба родителя (усыновителя) - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб;

Мать - встала на медицинский учет по поводу беременности в учреждении здравоохранения в срок до 20 недель (включительно)
ИЛИ
ребенка усыновили в возрасте до шести месяцев;

Обращение последовало не позднее полутора лет со дня рождения ребенка."
7;['Какие', 'ребёнка', 'условия'];"ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей (усыновителей) или оба родителя (усыновителя) - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб;

Мать - встала на медицинский учет по поводу беременности в учреждении здравоохранения в срок до 20 недель (включительно)
ИЛИ
ребенка усыновили в возрасте до шести месяцев;

Обращение последовало не позднее полутора лет со дня рождения ребенка."
8;['Какие', 'карты', 'условия'];"ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей (усыновителей) или оба родителя (усыновителя) - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб;

Мать - встала на медицинский учет по поводу беременности в учреждении здравоохранения в срок до 20 недель (включительно)
ИЛИ
ребенка усыновили в возрасте до шести месяцев;

Обращение последовало не позднее полутора лет со дня рождения ребенка."
9;['Предоставлять', 'усыновлении', 'рождении'];При наличии в семье двух и более детей единовременная компенсационная выплата назначается на каждого ребенка
10;['усыновлении', 'рождении', 'нескольких'];При наличии в семье двух и более детей единовременная компенсационная выплата назначается на каждого ребенка
11;['усыновлении', 'оформлять', 'услугу'];При наличии в семье двух и более детей единовременная компенсационная выплата назначается на каждого ребенка
12;['усыновлении', 'рождении', 'нескольких'];При наличии в семье двух и более детей единовременная компенсационная выплата назначается на каждого ребенка
13;['Предоставлять', 'услуге', 'ребенка'];"Единовременная компенсационная выплата при рождении первого ребенка - с 01.04.2022 - 36168 руб.; с 01.01.2023 - 39141 руб.
при рождении второго ребенка с 01.04.2022 - 48227 руб.; с 01.01.2023 - 52191 руб.
при рождении третьего и последующих детей с 01.04.2022 - 60280 руб.; с 01.01.2023 - 65232 руб"
14;['услуге', 'сумма', 'выплат'];"Единовременная компенсационная выплата при рождении первого ребенка - с 01.04.2022 - 36168 руб.; с 01.01.2023 - 39141 руб.
при рождении второго ребенка с 01.04.2022 - 48227 руб.; с 01.01.2023 - 52191 руб.
при рождении третьего и последующих детей с 01.04.2022 - 60280 руб.; с 01.01.2023 - 65232 руб"
15;['Единовременная', 'ребенка', 'сумма'];"Единовременная компенсационная выплата при рождении первого ребенка - с 01.04.2022 - 36168 руб.; с 01.01.2023 - 39141 руб.
при рождении второго ребенка с 01.04.2022 - 48227 руб.; с 01.01.2023 - 52191 руб.
при рождении третьего и последующих детей с 01.04.2022 - 60280 руб.; с 01.01.2023 - 65232 руб"
16;['карте', 'сумма', 'выплат'];"Единовременная компенсационная выплата при рождении первого ребенка - с 01.04.2022 - 36168 руб.; с 01.01.2023 - 39141 руб.
при рождении второго ребенка с 01.04.2022 - 48227 руб.; с 01.01.2023 - 52191 руб.
при рождении третьего и последующих детей с 01.04.2022 - 60280 руб.; с 01.01.2023 - 65232 руб"
17;['услуга', 'положена'];"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
18;['Предоставлять', 'услуга', 'ребенка'];"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
19;['карта', 'положена', 'детская'];"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
20;['Единовременная', 'ребенка', 'положена'];"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
21;['Предоставлять', 'услуге', 'ребенка'];Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
22;['ребенка', 'определяется', 'размер'];Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
23;['карте', 'определяется', 'размер'];Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
24;['услуге', 'определяется', 'размер'];Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
25;['Предоставлять', 'Какие', 'услуге'];паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
26;['Какие', 'карте', 'документы'];паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
27;['услуге', 'Какие', 'документы'];паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
28;['Какие', 'ребенка', 'документы'];паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
29;['услуге', 'Какие', 'документы'];1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
30;['Какие', 'карте', 'документы'];1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
31;['Предоставлять', 'Какие', 'услуге'];1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
32;['Какие', 'ребенка', 'документы'];1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
33;['Предоставлять', 'Какие', 'услуге'];Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
34;['Какие', 'ребенка', 'заявления'];Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
35;['услуге', 'Какие', 'заявления'];Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
