Keywords;Answer
детский получение карта единовременный компенсационный;Заявителем является родитель (усыновитель) ребенка (детей), являющийся гражданином Российской Федерации, имеющим место жительства в Санкт-Петербурге, в случае если ребенок (дети) в отношении которых подается заявление являются гражданами Российской Федерации, имеющими место жительства в Санкт-Петербурге.
детский получение карта единовременный компенсационный;"ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей (усыновителей) или оба родителя (усыновителя) - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб;

Мать - встала на медицинский учет по поводу беременности в учреждении здравоохранения в срок до 20 недель (включительно)
ИЛИ
ребенка усыновили в возрасте до шести месяцев;

Обращение последовало не позднее полутора лет со дня рождения ребенка."
детский рождение ребёнок карта единовременный;При наличии в семье двух и более детей единовременная компенсационная выплата назначается на каждого ребенка
детский выплата карта единовременный компенсационный;"Единовременная компенсационная выплата при рождении первого ребенка - с 01.04.2022 - 36168 руб.; с 01.01.2023 - 39141 руб.
при рождении второго ребенка с 01.04.2022 - 48227 руб.; с 01.01.2023 - 52191 руб.
при рождении третьего и последующих детей с 01.04.2022 - 60280 руб.; с 01.01.2023 - 65232 руб"
детский положить карта единовременный компенсационный;"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
детский выплата карта единовременный компенсационный;Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
детский личность карта единовременный компенсационный;паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
детский представитель карта единовременный компенсационный;1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
детский заявитель карта единовременный компенсационный;Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская».
детский заявитель карта единовременный компенсационный;"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
